"id","name","reference"
"ecoembes_sector_000","Sector No Definido (Solo para bolsas y Envoltorios)","000"
"ecoembes_sector_001","Leches, batidos y horchatas","001"
"ecoembes_sector_002","Productos Carnicos","002"
"ecoembes_sector_003","Huevos","003"
"ecoembes_sector_004","Platos cocinados y precocinados y bocadillos","004"
"ecoembes_sector_005","Congelados","005"
"ecoembes_sector_006","Derivados lácteos","006"
"ecoembes_sector_007","Frutas y Hortalizas","007"
"ecoembes_sector_008","Panadería, Pastelería, Repostería y Bollería fresco e Industrial","008"
"ecoembes_sector_009","Pescados y mariscos","009"
"ecoembes_sector_010","Quesos","010"
"ecoembes_sector_011","Aguas","011"
"ecoembes_sector_012","Bebidas Refrescantes","012"
"ecoembes_sector_013","Zumos, Néctares, Mostos","013"
"ecoembes_sector_014","Bebidas Alcohólicas","014"
"ecoembes_sector_015","Conservas de pescado y marisco","015"
"ecoembes_sector_016","Conservas vegetales","016"
"ecoembes_sector_017","Conservas de Frutas y Dulces, Mermeladas, Confituras, Miel, etc","017"
"ecoembes_sector_018","Conservas de Carne, Patés y Charcuterías, Salazones","018"
"ecoembes_sector_019","Otras conservas, Encurtidos","019"
"ecoembes_sector_020","Aceites, margarinas grasa vegetales","020"
"ecoembes_sector_021","Cafés, Infusiones, Chocolates, cacaos y sucedaneos","021"
"ecoembes_sector_022","Cereales listos para consumir","022"
"ecoembes_sector_023","Azucar, Edulcorantes y Golosinas","023"
"ecoembes_sector_024","Patatas fritas, cortezas, frutos secos y otros aperitivos similares","024"
"ecoembes_sector_025","Salsas, Sal, Vinagre y Especias","025"
"ecoembes_sector_026","Legumbres, Arroz, Sopas, Caldos, Purés preparados deshidratados, Pastas alimenticias, Harinas","026"
"ecoembes_sector_027","Alimentos infantiles y dietéticos","027"
"ecoembes_sector_028","Alimentos para Animales","028"
"ecoembes_sector_029","Tabaco","029"
"ecoembes_sector_030","Accesorios médicos, óptica relojería y joyería","030"
"ecoembes_sector_031","Mobiliario y amueblamiento","031"
"ecoembes_sector_032","Equipamiento Hogar","032"
"ecoembes_sector_033","Bricolaje","033"
"ecoembes_sector_034","Electrodomesticos y aparatos eléctricos iluminación","034"
"ecoembes_sector_035","Edición, prensa","035"
"ecoembes_sector_036","Industría y manufacturas de la piel, calzado","036"
"ecoembes_sector_037","Artículos de Aseo","037"
"ecoembes_sector_038","Perfumería","038"
"ecoembes_sector_039","Cosmética","039"
"ecoembes_sector_040","Limpieza mantenimiento y Productos químicos","040"
"ecoembes_sector_041","Productos farmaceuticos","041"
"ecoembes_sector_042","Ocio y Aire Libre","042"
"ecoembes_sector_043","Papelería, ofimática e informática","043"
"ecoembes_sector_044","Prendas de vestir y tejidos","044"
"ecoembes_sector_045","Motor y Lubricantes","045"
"ecoembes_sector_046","Sonido, Imagen y Telefonía","046"
