type,name,res_id,src,value
field,"account.account,active",0,Active,Actiu
field,"account.account,balance",0,Balance,Saldo
field,"account.account,child_id",0,Children,Fills
field,"account.account,close_method",0,Deferral Method,Mètode tancament
field,"account.account,code",0,Code,Codi
field,"account.account,company_currency_id",0,Company Currency,Moneda de la companyia
field,"account.account,company_id",0,Company,Companyia
field,"account.account,credit",0,Credit,Haver
field,"account.account,currency_id",0,Secondary Currency,Moneda secundària
field,"account.account,debit",0,Debit,Deure
field,"account.account,name",0,Name,Nom
field,"account.account,note",0,Note,Nota
field,"account.account,parent_id",0,Parents,Pares
field,"account.account,reconcile",0,Reconcile,Conciliar
field,"account.account,shortcut",0,Shortcut,Abreviació
field,"account.account,sign",0,Sign,Signe
field,"account.account,tax_ids",0,Default Taxes,Impostos per defecte
field,"account.account,type",0,Account Type,Tipus de compte
field,"account.account.type,close_method",0,Deferral Method,Mètode tancament
field,"account.account.type,code",0,Code,Codi
field,"account.account.type,code_from",0,Code From,Codi de
field,"account.account.type,code_to",0,Code To,Codi a
field,"account.account.type,name",0,Acc. Type Name,Nom tipus compte
field,"account.account.type,partner_account",0,Partner account,Compte de l'empresa
field,"account.account.type,sequence",0,Sequence,Seqüència
field,"account.analytic.account,active",0,Active,Actiu
field,"account.analytic.account,amount_invoiced",0,Invoiced Amount,Import facturat
field,"account.analytic.account,amount_max",0,Max. Invoice Price,Preu màx. factura
field,"account.analytic.account,balance",0,Balance,Saldo
field,"account.analytic.account,ca_invoiced",0,Invoiced amount,Import facturat
field,"account.analytic.account,ca_theorical",0,Theorical revenue,Retorn teòric
field,"account.analytic.account,ca_to_invoice",0,Uninvoiced amount,Import no facturat
field,"account.analytic.account,child_ids",0,Childs Accounts,Comptes filles
field,"account.analytic.account,code",0,Account code,Codi compte
field,"account.analytic.account,company_currency_id",0,Currency,Moneda
field,"account.analytic.account,company_id",0,Company,Companyia
field,"account.analytic.account,complete_name",0,Account Name,Nom compte
field,"account.analytic.account,contact_id",0,Contact,Contacte
field,"account.analytic.account,credit",0,Credit,Haver
field,"account.analytic.account,date",0,Date End,Data final
field,"account.analytic.account,date_start",0,Date Start,Data inicial
field,"account.analytic.account,debit",0,Debit,Deure
field,"account.analytic.account,description",0,Description,Descripció
field,"account.analytic.account,hours_qtt_invoiced",0,Invoiced hours,Hores facturades
field,"account.analytic.account,hours_qtt_non_invoiced",0,Uninvoiced hours,Hores no facturades
field,"account.analytic.account,hours_quantity",0,Hours tot,Tot. hores
field,"account.analytic.account,last_invoice_date",0,Last invoice date,Data última factura
field,"account.analytic.account,last_worked_date",0,Last worked date,Data últim treball
field,"account.analytic.account,last_worked_invoiced_date",0,Last invoiced worked date,Data últim treball facturat
field,"account.analytic.account,line_ids",0,Analytic entries,Assentaments analítics
field,"account.analytic.account,month_ids",0,Month,Mes
field,"account.analytic.account,name",0,Account name,Nom compte
field,"account.analytic.account,parent_id",0,Parent analytic account,Compte analític pare
field,"account.analytic.account,partner_id",0,Associated partner,Empresa associada
field,"account.analytic.account,pricelist_id",0,Sale Pricelist,Llista de preus de venda
field,"account.analytic.account,quantity",0,Quantity,Quantitat
field,"account.analytic.account,quantity_max",0,Maximal quantity,Quantitat màxima
field,"account.analytic.account,real_margin",0,Real margin,Marge real
field,"account.analytic.account,real_margin_rate",0,Real margin rate (%),Perc. marge real (%)
