"01","Agricultura, ramaderia, caça i activitats dels serveis que s'hi relacionen"
"02","Silvicultura i explotació forestal"
"03","Pesca i aqüicultura"
"05","Extracció d'antracita, hulla i lignit"
"06","Extracció de petroli brut i de gas natural"
"07","Extracció de minerals metàl·lics"
"08","Extracció de minerals no metàl·lics ni energètics"
"09","Activitats de suport a les indústries extractives"
"10","Indústries de productes alimentaris"
"11","Fabricació de begudes"
"12","Indústries del tabac"
"13","Indústries tèxtils"
"14","Confecció de peces de vestir"
"15","Indústria del cuir i del calçat"
"16","Indústria de la fusta i del suro, excepte mobles; cistelleria i esparteria"
"17","Indústries del paper"
"18","Arts gràfiques i reproducció de suports enregistrats"
"19","Coqueries i refinació del petroli"
"20","Indústries químiques"
"21","Fabricació de productes farmacèutics"
"22","Fabricació de productes de cautxú i matèries plàstiques"
"23","Fabricació d'altres productes minerals no metàl·lics"
"24","Metal·lúrgia; fabricació de productes bàsics de ferro, acer i ferroaliatges"
"25","Fabricació de productes metàl·lics, excepte maquinària i equips"
"26","Fabricació de productes informàtics, electrònics i òptics"
"27","Fabricació de materials i equips elèctrics"
"28","Fabricació de maquinària i equips ncaa"
"29","Fabricació de vehicles de motor, remolcs i semiremolcs"
"30","Fabricació d'altres materials de transport"
"31","Fabricació de mobles"
"32","Indústries manufactureres diverses"
"33","Reparació i instal·lació de maquinària i equips"
"35","Subministrament d'energia elèctrica, gas, vapor i aire condicionat"
"36","Captació, potabilització i distribució d'aigua"
"37","Recollida i tractament d'aigües residuals"
"38","Activitats de recollida, tractament i eliminació de residus; activitats de valorització"
"39","Activitats de descontaminació i altres serveis de gestió de residus"
"41","Construcció d'immobles"
"42","Construcció d'obres d'enginyeria civil"
"43","Activitats especialitzades de la construcció"
"45","Venda i reparació de vehicles de motor i motocicletes"
"46","Comerç a l'engròs i intermediaris del comerç, excepte vehicles de motor i motocicletes"
"47","Comerç al detall, excepte el comerç de vehicles de motor i motocicletes"
"49","Transport terrestre; transport per canonades"
"50","Transport marítim i per vies de navegació interiors"
"51","Transport aeri"
"52","Emmagatzematge i activitats afins al transport"
"53","Activitats postals i de correus"
"55","Serveis d'allotjament"
"56","Serveis de menjar i begudes"
"58","Edició"
"59","Activitats de cinematografia, de vídeo i de programes de televisió; activitats d'enregistrament de so i edició musical"
"60","Activitats d'emissió i programació de ràdio i televisió"
"61","Telecomunicacions"
"62","Serveis de tecnologies de la informació"
"63","Serveis d'informació"
"64","Mediació financera, excepte assegurances i fons de pensions"
"65","Assegurances, reassegurances i fons de pensions, excepte la Seguretat Social obligatòria"
"66","Activitats auxiliars de la mediació financera i d'assegurances"
"68","Activitats immobiliàries"
"69","Activitats jurídiques i de comptabilitat"
"70","Activitats de les seus centrals; activitats de consultoria de gestió empresarial"
"71","Serveis tècnics d'arquitectura i enginyeria; assajos i anàlisis tècnics"
"72","Recerca i desenvolupament"
"73","Publicitat i estudis de mercat"
"74","Altres activitats professionals, científiques i tècniques"
"75","Activitats veterinàries"
"77","Activitats de lloguer"
"78","Activitats relacionades amb l'ocupació"
"79","Activitats de les agències de viatges, operadors turístics i altres serveis de reserves i activitats que s'hi relacionen"
"80","Activitats de seguretat i investigació"
"81","Serveis a edificis i activitats de jardineria"
"82","Activitats administratives d'oficina i altres activitats auxiliars a les empreses"
"84","Administració pública, Defensa i Seguretat Social obligatòria"
"85","Educació"
"86","Activitats sanitàries"
"87","Activitats de serveis socials amb allotjament"
"88","Activitats de serveis socials sense allotjament"
"90","Activitats de creació, artístiques i d'espectacles"
"91","Activitats de biblioteques, arxius, museus i altres activitats culturals"
"92","Activitats relacionades amb els jocs d'atzar i les apostes"
"93","Activitats esportives, recreatives i d'entreteniment"
"94","Activitats associatives"
"95","Reparació d'ordinadors, d'efectes personals i efectes domèstics"
"96","Altres activitats de serveis personals"
"97","Activitats de les llars que donen ocupació a personal domèstic"
"98","Activitats de les llars que produeixen béns i serveis per a ús propi"
"99","Organismes extraterritorials"
"01.1","Conreus no perennes"
"01.2","Conreus perennes"
"01.3","Vivers i conreus de plantes ornamentals"
"01.4","Producció ramadera"
"01.5","Producció agrícola combinada amb la producció ramadera"
"01.6","Activitats de suport a l'agricultura, ramaderia i preparació posterior a la collita"
"01.7","Caça, captura d'animals i activitats dels serveis que s'hi  relacionen"
"02.1","Silvicultura i altres activitats forestals"
"02.2","Aprofitament de la fusta"
"02.3","Recol·lecció de productes forestals silvestres, excepte la fusta"
"02.4","Serveis de suport a la silvicultura"
"03.1","Pesca"
"03.2","Aqüicultura"
"05.1","Extracció d'antracita i hulla"
"05.2","Extracció de lignit"
"06.1","Extracció de petroli brut"
"06.2","Extracció de gas natural"
"07.1","Extracció de minerals de ferro"
"07.2","Extracció de minerals metàl·lics no fèrrics"
"08.1","Extracció de pedra, sorra i argila guix, creta i pissarra"
"08.9","Indústries extractives ncaa"
"09.1","Activitats de suport a l'extracció de petroli i de gas natural"
"09.9","Altres activitats de suport a les indústries extractives"
"10.1","Sacrifici de bestiar i conservació de carn i elaboració de productes carnis"
"10.2","Elaboració i conservació de peix, crustacis i mol·luscos"
