"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","negative_sign","positive_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","repeat_expression","subconfig_id/id"
"aeat_mod216_2024_sub01_export_line_01","aeat_mod216_2024_sub01_export_config",1,"Constante: <T","string",2,0,"left",1,"N",,,,,"<T",,,
"aeat_mod216_2024_sub01_export_line_02","aeat_mod216_2024_sub01_export_config",2,"Constante: 216","string",3,0,"left",1,"N",,,,,"216",,,
"aeat_mod216_2024_sub01_export_line_03","aeat_mod216_2024_sub01_export_config",3,"Constante: 01000","string",5,0,"left",1,"N",,,,,"01000",,,
"aeat_mod216_2024_sub01_export_line_04","aeat_mod216_2024_sub01_export_config",4,"Constante: >","string",1,0,"left",1,"N",,,,,">",,,
"aeat_mod216_2024_sub01_export_line_05","aeat_mod216_2024_sub01_export_config",5,"Indicador de página complementaria: En blanco","string",1,0,"left",1,"N",,,,,,,,
"aeat_mod216_2024_sub01_export_line_06","aeat_mod216_2024_sub01_export_config",6,"Tipo de declaración","string",1,0,"left",1,"N",,,,"${object.tipo_declaracion}",,,,
"aeat_mod216_2024_sub01_export_line_07","aeat_mod216_2024_sub01_export_config",7,"Identificación  - Nif [03]","string",9,0,"left",1,"N",,,,"${object.company_vat}",,,,
"aeat_mod216_2024_sub01_export_line_08","aeat_mod216_2024_sub01_export_config",8,"Identificación - Apellidos y nombre o razón social [04]","string",80,0,"left",1,"N",,,,"${object.company_id.name}",,,,
"aeat_mod216_2024_sub01_export_line_09","aeat_mod216_2024_sub01_export_config",9,"Devengo - Ejercicio [01]","string",4,0,"left",1,"N",,,,"${object.year}",,,,
"aeat_mod216_2024_sub01_export_line_10","aeat_mod216_2024_sub01_export_config",10,"Devengo - Período [02]","string",2,0,"left",1,"N",,,,"${object.period_type}",,,,
"aeat_mod216_2024_sub01_export_line_11","aeat_mod216_2024_sub01_export_config",11,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Dividendos y otras rentas de participación en fondos propios de entidades - Número Rentas [05]","integer",17,0,"right",0,"N",,,,"${object.casilla_05}",,,,
"aeat_mod216_2024_sub01_export_line_12","aeat_mod216_2024_sub01_export_config",12,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Resto de rentas - Número Rentas [06]","integer",17,0,"right",0,"N",,,,"${object.casilla_06}",,,,
"aeat_mod216_2024_sub01_export_line_13","aeat_mod216_2024_sub01_export_config",13,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Totales - Número Rentas [07]","integer",17,0,"right",0,"N",,,,"${object.casilla_07}",,,,
"aeat_mod216_2024_sub01_export_line_14","aeat_mod216_2024_sub01_export_config",14,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Dividendos y otras rentas de participación en fondos propios de entidades - Base de retenciones e ingresos a cuenta [08]","float",17,2,"right",1,"N",,,,"${object.casilla_08}",,,,
"aeat_mod216_2024_sub01_export_line_15","aeat_mod216_2024_sub01_export_config",15,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Resto de rentas - Base de retenciones e ingresos a cuenta [09]","float",17,2,"right",1,"N",,,,"${object.casilla_09}",,,,
"aeat_mod216_2024_sub01_export_line_16","aeat_mod216_2024_sub01_export_config",16,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Totales - Base de retenciones e ingresos a cuenta [10]","float",17,2,"right",1,"N",,,,"${object.casilla_10}",,,,
"aeat_mod216_2024_sub01_export_line_17","aeat_mod216_2024_sub01_export_config",17,"Liquidación - I Rentas sometidas a retención o ingreso a cuenta - Dividendos y otras rentas de participación en fondos propios de entidades - Retenciones e ingresos a cuenta [11]","float",17,2,"right",1,"N",,,,"${object.casilla_11}",,,,
