"id","period_type","code","date_start","date_end","name"
"aeat_mod303_activity_code_4t_0","4T","0",,"2021-12-31","0 - Sin epígrafe",
"aeat_mod303_activity_code_4t_1a","4T","1",,"2021-12-31","1 - Epígrafes correspondientes a: Actividades en régimen simplificado excepto las agrícolas, ganaderas y pesqueras (AGP)"
"aeat_mod303_activity_code_4t_1b","4T","1",,"2021-12-31","1 - Epígrafes correspondientes a: Actividades AGP con IAE"
"aeat_mod303_activity_code_4t_3a","4T","3",,"2021-12-31","3 - Epígrafe 861.1 correspondiente a: Alquiler de viviendas"
"aeat_mod303_activity_code_4t_3b","4T","3",,"2021-12-31","3 - Epígrafe 861.2 correspondiente a: Alquiler de locales industriales"
"aeat_mod303_activity_code_4t_4","4T","4",,"2021-12-31","4 - Sin epígrafe, correspondiente a: Actividades AGP, no sujetas al IAE"
"aeat_mod303_activity_code_12_0","12","0",,"2021-12-31","0 - Sin Epígrafe"
"aeat_mod303_activity_code_12_1","12","1",,"2021-12-31","1 - Epígrafes correspondientes a: Actividades empresariales sujetas al IAE"
"aeat_mod303_activity_code_12_2a","12","2",,"2021-12-31","2 - Epígrafes correspondientes a: Actividades profesionales sujetas al IAE"
"aeat_mod303_activity_code_12_2b","12","2",,"2021-12-31","2 - Epígrafes correspondientes a: Actividades artísticas sujetas al IAE"
"aeat_mod303_activity_code_12_3a","12","3",,"2021-12-31","3 - Epígrafe 861.1 correspondiente a: Alquiler de viviendas"
"aeat_mod303_activity_code_12_3b","12","3",,"2021-12-31","3 - Epígrafe 861.2 correspondiente a: Alquiler de locales industriales"
"aeat_mod303_activity_code_12_3c","12","3",,"2021-12-31","3 - Epígrafe 862 correspondiente a: Alquiler de inmuebles rústicos"
"aeat_mod303_activity_code_12_4","12","4",,"2021-12-31","4 - Sin epígrafe, correspondiente a: Actividades agrícolas, ganaderas, forestales o pesqueras, no sujetas al IAE"
"aeat_mod303_activity_code_12_5","12","5",,"2021-12-31","5 - Sin epígrafe, correspondiente a: Sujetos pasivos sin actividad"
"aeat_mod303_activity_code_12_6","12","6",,"2021-12-31","6 - Sin epígrafe, correspondiente a: Otras actividades no sujetas al IAE"
"aeat_mod303_activity_code_A01","","A01","2022-01-01",,"A01 - Arrendadores de bienes inmuebles"
"aeat_mod303_activity_code_A02","","A02","2022-01-01",,"A02 - Ganadería independiente"
"aeat_mod303_activity_code_A03","","A03","2022-01-01",,"A03 - Resto de actividades empresariales no incluidas en los dos subtipos anteriores"
"aeat_mod303_activity_code_A04","","A04","2022-01-01",,"A04 - Actividades profesionales de carácter artístico o deportivo"
"aeat_mod303_activity_code_A05","","A05","2022-01-01",,"A05 - Resto de actividades profesionales"
"aeat_mod303_activity_code_B01","","B01","2022-01-01",,"B01 - Actividad agrícola"
"aeat_mod303_activity_code_B02","","B02","2022-01-01",,"B02 - Actividad ganadera dependiente"
"aeat_mod303_activity_code_B03","","B03","2022-01-01",,"B03 - Actividad forestal"
"aeat_mod303_activity_code_B04","","B04","2022-01-01",,"B04 - Producción del mejillón en batea"
"aeat_mod303_activity_code_B05","","B05","2022-01-01",,"B05 - Actividad pesquera, excepto la actividad de producción de mejillón en batea"
"aeat_mod303_activity_code_C","","C","2022-01-01",,"C - Actividades no iniciadas"
