id,name
s_iva0_g_i,account_tax_template_s_iva0_g_i
p_iva0_ic_bc,account_tax_template_p_iva0_ic_bc
p_iva4_ic_bc,account_tax_template_p_iva4_ic_bc
p_iva4_ic_bi,account_tax_template_p_iva4_ic_bi
p_iva5_ic_bc,account_tax_template_p_iva5_ic_bc
p_iva10_ic_bc,account_tax_template_p_iva10_ic_bc
p_iva10_ic_bi,account_tax_template_p_iva10_ic_bi
p_iva21_ic_bc,account_tax_template_p_iva21_ic_bc
p_iva21_ic_bi,account_tax_template_p_iva21_ic_bi
s_iva0_sp_i,account_tax_template_s_iva0_sp_i
p_iva0_ic_sc,account_tax_template_p_iva0_ic_sc
p_iva4_sp_in,account_tax_template_p_iva4_sp_in
p_iva5_ic_sc,account_tax_template_p_iva5_ic_sc
p_iva10_sp_in,account_tax_template_p_iva10_sp_in
p_iva21_sp_in,account_tax_template_p_iva21_sp_in
p_iva2_ic_bc,account_tax_template_p_iva2_ic_bc
p_iva7-5_ic_bc,account_tax_template_p_iva7-5_ic_bc
p_iva2_ic_sc,account_tax_template_p_iva2_ic_sc
p_iva7-5_ic_sc,account_tax_template_p_iva7-5_ic_sc
