"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","negative_sign","positive_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","repeat_expression","subconfig_id/id"
"aeat_mod369_2022_sub04_export_line_01","aeat_mod369_2022_sub04_export_config",1,"Constante: <T","string",2,0,"left",1,"N",0," ","X",,"<T",,,
"aeat_mod369_2022_sub04_export_line_02","aeat_mod369_2022_sub04_export_config",2,"Modelo: 369","string",3,0,"left",1,"N",0," ","X",,"369",,,
"aeat_mod369_2022_sub04_export_line_03","aeat_mod369_2022_sub04_export_config",3,"Constante: 04","string",2,0,"left",1,"N",0," ","X",,"04",,,
"aeat_mod369_2022_sub04_export_line_04","aeat_mod369_2022_sub04_export_config",4,"Constante: >","string",1,0,"left",1,"N",0," ","X",,">",,,
"aeat_mod369_2022_sub04_export_line_05","aeat_mod369_2022_sub04_export_config",5,"Constante: MOSS","string",5,0,"left",1,"N",0," ","X",,"MOSS",,,
"aeat_mod369_2022_sub04_export_line_06","aeat_mod369_2022_sub04_export_config",6,"Constante: D","string",1,0,"left",1,"N",0," ","X",,"D",,,
"aeat_mod369_2022_sub04_export_line_07","aeat_mod369_2022_sub04_export_config",7,"Tipo de pago","string",1,0,"left",1,"N",0," ","X",${object.payment_type},,,,
"aeat_mod369_2022_sub04_export_line_08","aeat_mod369_2022_sub04_export_config",8,"NRC Pago","string",22,0,"left",1,"N",0," ","X",${object.nrc_reference},,,,
"aeat_mod369_2022_sub04_export_line_09","aeat_mod369_2022_sub04_export_config",9,"Import pagado","float",17,0,"right",1,"N",0," ","X",${object.total_amount},,,,
"aeat_mod369_2022_sub04_export_line_10","aeat_mod369_2022_sub04_export_config",10,"Complementaria","string",1,0,"left",1,"N",0," ","X",,,,,
"aeat_mod369_2022_sub04_export_line_11","aeat_mod369_2022_sub04_export_config",11,"1. Declarante. País","string",2,0,"left",1,"N",0," ","X","${object.company_id.country_id.code}",,,,
"aeat_mod369_2022_sub04_export_line_12","aeat_mod369_2022_sub04_export_config",12,"1. Declarante. NIF","string",15,0,"left",1,"N",0," ","X","${object.company_vat}",,,,
"aeat_mod369_2022_sub04_export_line_13","aeat_mod369_2022_sub04_export_config",13,"1. Declarante. Apellidos y nombre o razón social.","string",125,0,"left",1,"N",0," ","X","${object.company_id.name}",,,,
"aeat_mod369_2022_sub04_export_line_14","aeat_mod369_2022_sub04_export_config",14,"2. Ejercicio y período. Ejercicio","integer",4,0,"right",0,"N",0," ","X",${object.year},,,,
"aeat_mod369_2022_sub04_export_line_15","aeat_mod369_2022_sub04_export_config",15,"2. Ejercicio y período. Tipo de periodo","string",1,0,"left",1,"N",0," ","X",,"T",,,
