id,alignment,apply_sign,conditional_expression,decimal_size,export_config_id:id,export_type,expression,fixed_value,name,sequence,size,subconfig_id:id
aeat_mod390_2021_main_export_line_01,"left",,,,"aeat_mod390_2021_main_export_config","string",,"<T","Constante: <T","1","2",
aeat_mod390_2021_main_export_line_02,"left",,,,"aeat_mod390_2021_main_export_config","string",,"390","Constante: 390","2","3",
aeat_mod390_2021_main_export_line_03,"left",,,,"aeat_mod390_2021_main_export_config","string",,"0","Constante: 0","3","1",
aeat_mod390_2021_main_export_line_04,"left",,,,"aeat_mod390_2021_main_export_config","string","${object.year}",,"Ejercicio devengo","4","4",
aeat_mod390_2021_main_export_line_05,"left",,,,"aeat_mod390_2021_main_export_config","string","${object.period_type}",,"Identificación Periodo","5","2",
aeat_mod390_2021_main_export_line_06,"left",,,,"aeat_mod390_2021_main_export_config","string",,"0000>","Constante: 0000>","6","5",
aeat_mod390_2021_main_export_line_07,"left",,,,"aeat_mod390_2021_main_export_config","string",,"<AUX>","Constante: <AUX>","7","5",
aeat_mod390_2021_main_export_line_08,"left",,,,"aeat_mod390_2021_main_export_config","string",,,"Reservado para la Administración: Rellenar con blancos","8","70",
aeat_mod390_2021_main_export_line_09,"left",,,,"aeat_mod390_2021_main_export_config","string",,"odoo","Versión del programa","9","4",
aeat_mod390_2021_main_export_line_10,"left",,,,"aeat_mod390_2021_main_export_config","string",,,"Reservado para la Administración. Rellenar con blancos","10","4",
aeat_mod390_2021_main_export_line_11,"left",,,,"aeat_mod390_2021_main_export_config","string",,"G87846952","NIF Empresa Desarrollo","11","9",
aeat_mod390_2021_main_export_line_12,"left",,,,"aeat_mod390_2021_main_export_config","string",,,"Reservado para la Administración. Rellenar con blancos","12","213",
aeat_mod390_2021_main_export_line_13,"left",,,,"aeat_mod390_2021_main_export_config","string",,"</AUX>","Constante: </AUX>","13","6",
aeat_mod390_2021_main_export_line_14,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub01]","14",,"aeat_mod390_2019_sub01_export_config"
aeat_mod390_2021_main_export_line_15,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub02]","15",,"aeat_mod390_2019_sub02_export_config"
aeat_mod390_2021_main_export_line_16,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub03]","16",,"aeat_mod390_2019_sub03_export_config"
aeat_mod390_2021_main_export_line_17,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub04]","17",,"aeat_mod390_2019_sub04_export_config"
aeat_mod390_2021_main_export_line_18,,,"False",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub05]","18",,"aeat_mod390_2019_sub05_export_config"
aeat_mod390_2021_main_export_line_19,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub06]","19",,"aeat_mod390_2021_sub06_export_config"
aeat_mod390_2021_main_export_line_20,,,"True",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub07]","20",,"aeat_mod390_2019_sub07_export_config"
aeat_mod390_2021_main_export_line_21,,,"False",,"aeat_mod390_2021_main_export_config","subconfig",,,"Contenido del fichero [sub08]","21",,"aeat_mod390_2019_sub08_export_config"
aeat_mod390_2021_main_export_line_22,"left",,,,"aeat_mod390_2021_main_export_config","string","</T3900${object.year}${object.period_type}0000>",,"Constante: </T3900+Ejercicio+periodo+0000>","22","18",
aeat_mod390_2021_sub06_export_line_01,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,"<T","Constante: <T","1","2",
aeat_mod390_2021_sub06_export_line_02,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,"390","Constante: 390","2","3",
aeat_mod390_2021_sub06_export_line_03,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,"06","Página","3","2",
aeat_mod390_2021_sub06_export_line_04,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,"000>","Constante: 000>","4","4",
aeat_mod390_2021_sub06_export_line_05,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,,"Indicador de página complementaria: En blanco","5","1",
aeat_mod390_2021_sub06_export_line_06,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","7. Resultado liquidación anual - Regularización cuotas art. 80.Cinco.5ª LIVA [658]","6","17",
aeat_mod390_2021_sub06_export_line_07,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_65}",,"7. Resultado liquidación anual - Suma de resultados [84]","7","17",
aeat_mod390_2021_sub06_export_line_08,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","7. Resultado liquidación anual - IVA a la importación liquidado por la Aduana (sólo sujetos pasivos con opción de diferimiento) [659]","8","17",
aeat_mod390_2021_sub06_export_line_09,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_85}",,"7. Resultado liquidación anual - Compensación de cuotas ejercicio anterior [85]","9","17",
aeat_mod390_2021_sub06_export_line_10,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_86}",,"7. Resultado liquidación anual - Resultado de la liquidación [86]","10","17",
aeat_mod390_2021_sub06_export_line_11,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Territorio común [87]","11","5",
aeat_mod390_2021_sub06_export_line_12,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Álava [88]","12","5",
aeat_mod390_2021_sub06_export_line_13,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Guipúzcoa [89]","13","5",
aeat_mod390_2021_sub06_export_line_14,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Vizcaya [90]","14","5",
aeat_mod390_2021_sub06_export_line_15,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Navarra [91]","15","5",
aeat_mod390_2021_sub06_export_line_16,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Regularización cuotas art. 80.Cinco.5ª LIVA [658]","16","17",
aeat_mod390_2021_sub06_export_line_17,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Suma de resultados [84]","17","17",
aeat_mod390_2021_sub06_export_line_18,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Resultado atribuible a territorio común [92]","18","17",
aeat_mod390_2021_sub06_export_line_19,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - IVA a la importación liquidado por la Aduana(sólo sujetos pasivos con opción de diferimiento) [659]","19","17",
aeat_mod390_2021_sub06_export_line_20,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Compens. cuotas ej. anterior atrib. territ. com. [93]","20","17",
aeat_mod390_2021_sub06_export_line_21,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","8. Tributación razón de territorio - Administraciones - Resultado liq. anual atribuible territ. comun [94]","21","17",
aeat_mod390_2021_sub06_export_line_22,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_95}",,"9. Resultado de las liquidaciones - Total resultados a ingresar autoliquidaciones de IVA del ejercicio [95]","22","17",
aeat_mod390_2021_sub06_export_line_23,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","9. Resultado de las liquidaciones - Total devoluc. mensuales IVA suj. pasivos Regtro. de devolución mensual [96]","23","17",
aeat_mod390_2021_sub06_export_line_24,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","9. Resultado de las liquidaciones - Total devoluc. Por cuotas en la adquisicion de elementos de transporte [524]","24","17",
aeat_mod390_2021_sub06_export_line_25,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_97}",,"9. Resultado de las liquidaciones - Resultado declaración-liquidación último periodo - A compensar [97]","25","17",
aeat_mod390_2021_sub06_export_line_26,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_98}",,"9. Resultado de las liquidaciones - Resultado declaración-liquidación último periodo - A devolver [98]","26","17",
aeat_mod390_2021_sub06_export_line_27,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","9. Resultado de las liquidaciones - Cuotas pendientes de compensación al término del ejercicio [662]","27","17",
aeat_mod390_2021_sub06_export_line_28,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","9. Resultado de las liquidaciones - Total resultados positivos del ejercicio (modelo 322) [525]","28","17",
