id,alignment,apply_sign,bool_no,bool_yes,conditional_expression,decimal_size,export_config_id:id,export_type,expression,fixed_value,name,sequence,size,subconfig_id:id
aeat_mod390_2022_main_export_line_01,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"<T","Constante: <T","1","2",
aeat_mod390_2022_main_export_line_02,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"390","Constante: 390","2","3",
aeat_mod390_2022_main_export_line_03,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"0","Constante: 0","3","1",
aeat_mod390_2022_main_export_line_04,"left",,,,,,"aeat_mod390_2022_main_export_config","string","${object.year}",,"Ejercicio devengo","4","4",
aeat_mod390_2022_main_export_line_05,"left",,,,,,"aeat_mod390_2022_main_export_config","string","${object.period_type}",,"Identificación Periodo","5","2",
aeat_mod390_2022_main_export_line_06,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"0000>","Constante: 0000>","6","5",
aeat_mod390_2022_main_export_line_07,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"<AUX>","Constante: <AUX>","7","5",
aeat_mod390_2022_main_export_line_08,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,,"Reservado para la Administración: Rellenar con blancos","8","70",
aeat_mod390_2022_main_export_line_09,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"odoo","Versión del programa","9","4",
aeat_mod390_2022_main_export_line_10,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,,"Reservado para la Administración. Rellenar con blancos","10","4",
aeat_mod390_2022_main_export_line_11,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"G87846952","NIF Empresa Desarrollo","11","9",
aeat_mod390_2022_main_export_line_12,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,,"Reservado para la Administración. Rellenar con blancos","12","213",
aeat_mod390_2022_main_export_line_13,"left",,,,,,"aeat_mod390_2022_main_export_config","string",,"</AUX>","Constante: </AUX>","13","6",
aeat_mod390_2022_main_export_line_14,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub01]","14",,"aeat_mod390_2022_sub01_export_config"
aeat_mod390_2022_main_export_line_15,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub02]","15",,"aeat_mod390_2022_sub02_export_config"
aeat_mod390_2022_main_export_line_16,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub03]","16",,"aeat_mod390_2022_sub03_export_config"
aeat_mod390_2022_main_export_line_17,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub04]","17",,"aeat_mod390_2019_sub04_export_config"
aeat_mod390_2022_main_export_line_18,,,,,"False",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub05]","18",,"aeat_mod390_2022_sub05_export_config"
aeat_mod390_2022_main_export_line_19,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub06]","19",,"aeat_mod390_2021_sub06_export_config"
aeat_mod390_2022_main_export_line_20,,,,,"True",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub07]","20",,"aeat_mod390_2019_sub07_export_config"
aeat_mod390_2022_main_export_line_21,,,,,"False",,"aeat_mod390_2022_main_export_config","subconfig",,,"Contenido del fichero [sub08]","21",,"aeat_mod390_2019_sub08_export_config"
aeat_mod390_2022_main_export_line_22,"left",,,,,,"aeat_mod390_2022_main_export_config","string","</T3900${object.year}${object.period_type}0000>",,"Constante: </T3900+Ejercicio+periodo+0000>","22","18",
aeat_mod390_2022_sub01_export_line_01,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"<T","Constante: <T","1","2",
aeat_mod390_2022_sub01_export_line_02,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"390","Constante: 390","2","3",
aeat_mod390_2022_sub01_export_line_03,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"01","Página","3","2",
aeat_mod390_2022_sub01_export_line_04,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"000>","Constante: 000>","4","4",
aeat_mod390_2022_sub01_export_line_05,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"Indicador de página complementaria: En blanco","5","1",
aeat_mod390_2022_sub01_export_line_06,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"Reservado para la A.E.A.T. (Dejar en blanco)","6","1",
aeat_mod390_2022_sub01_export_line_07,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.company_vat}",,"Identificación: NIF","7","9",
aeat_mod390_2022_sub01_export_line_08,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.company_id.name}",,"Identificación: Denominación o Apellidos","8","60",
aeat_mod390_2022_sub01_export_line_09,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"Identificación: Nombre","9","20",
aeat_mod390_2022_sub01_export_line_10,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.year}",,"Identificación: Ejercicio","10","4",
aeat_mod390_2022_sub01_export_line_11,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"Reservado para la A.E.A.T. (Dejar en blanco)","11","2",
aeat_mod390_2022_sub01_export_line_12,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","1. Sujeto pasivo - Registro de devolución mensual.","12","1",
aeat_mod390_2022_sub01_export_line_13,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","1. Sujeto pasivo - Regimen especial del grupo de entidades","13","1",
aeat_mod390_2022_sub01_export_line_14,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"1. Sujeto pasivo - Número de grupo","14","7",
aeat_mod390_2022_sub01_export_line_15,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","1. Sujeto pasivo - dominante?","15","1",
aeat_mod390_2022_sub01_export_line_16,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","1. Sujeto pasivo - dependiente?","16","1",
aeat_mod390_2022_sub01_export_line_17,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","1. Sujeto pasivo - Tipo régimen especial aplicable. Art 163 sexies.cinco. Si o No","17","1",
aeat_mod390_2022_sub01_export_line_18,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,,"1. Sujeto pasivo - NIF entidad dominante","18","9",
aeat_mod390_2022_sub01_export_line_19,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"2","1. Sujeto pasivo - Concurso acreedores en este ejercicio","19","1",
aeat_mod390_2022_sub01_export_line_20,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"2","1. Sujeto pasivo - Regimen especial del criterio de caja","20","1",
aeat_mod390_2022_sub01_export_line_21,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"2","1. Sujeto pasivo - Ha sido destinatario del régimen especial del criterio de caja","21","1",
aeat_mod390_2022_sub01_export_line_22,"left",,"0","1",,,"aeat_mod390_2022_sub01_export_config","boolean","${object.type == 'S'}",,"2. Devengo - Sustitutiva?","22","1",
aeat_mod390_2022_sub01_export_line_23,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string",,"0","2. Devengo - Sustitutiva por rectificación de cuotas?","23","1",
aeat_mod390_2022_sub01_export_line_24,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.previous_number if object.type in ('S', 'SF') else ''}",,"2. Devengo - Nº justificante declaración anterior","24","13",
aeat_mod390_2022_sub01_export_line_25,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.main_activity}",,"3. Datos estadísticos - A - Actividades - Principal","25","40",
aeat_mod390_2022_sub01_export_line_26,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.main_activity_code_id.code}",,"3. Datos estadísticos - B - Código de actividad - Principal","26","3",
aeat_mod390_2022_sub01_export_line_27,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.main_activity_iae}",,"3. Datos estadísticos - C -Epígrafe I.A.E. - Principal","27","4",
aeat_mod390_2022_sub01_export_line_28,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_first_activity}",,"3. Datos estadísticos - A - Actividades - Otras - 1ª","28","40",
aeat_mod390_2022_sub01_export_line_29,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_first_activity_code_id.code or '0'}",,"3. Datos estadísticos - B - Código de actividad - Otras 1ª","29","3",
aeat_mod390_2022_sub01_export_line_30,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_first_activity_iae}",,"3. Datos estadísticos - C -Epígrafe I.A.E. - Otras 1º","30","4",
aeat_mod390_2022_sub01_export_line_31,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_second_activity}",,"3. Datos estadísticos - A - Actividades - Otras - 2ª","31","40",
aeat_mod390_2022_sub01_export_line_32,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_second_activity_code_id.code or '0'}",,"3. Datos estadísticos - B - Código de actividad - Otras 2ª","32","3",
aeat_mod390_2022_sub01_export_line_33,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_second_activity_iae}",,"3. Datos estadísticos - C -Epígrafe I.A.E. - Otras 2º","33","4",
aeat_mod390_2022_sub01_export_line_34,"left",,,,,,"aeat_mod390_2022_sub01_export_config","string","${object.other_third_activity}",,"3. Datos estadísticos - A - Actividades - Otras - 3ª","34","40",
