id,account_id:id,field_number,field_type,inverse,map_parent_id:id,move_type,name,sum_type,tax_ids/id
aeat_mod390_2024_map_line_001,,"1","base","False","aeat_mod390_2024_map","regular","Régimen ordinario - Base imponible 4%","both","l10n_es.account_tax_template_s_iva4b,l10n_es.account_tax_template_s_iva4s"
aeat_mod390_2024_map_line_002,,"2","amount","False","aeat_mod390_2024_map","regular","Régimen ordinario - Cuota 4%","both","l10n_es.account_tax_template_s_iva4b,l10n_es.account_tax_template_s_iva4s"
aeat_mod390_2024_map_line_003,,"3","base","False","aeat_mod390_2024_map","regular","Régimen ordinario - Base imponible 10%","both","l10n_es.account_tax_template_s_iva10b,l10n_es.account_tax_template_s_iva10s"
aeat_mod390_2024_map_line_004,,"4","amount","False","aeat_mod390_2024_map","regular","Régimen ordinario - Cuota 10%","both","l10n_es.account_tax_template_s_iva10b,l10n_es.account_tax_template_s_iva10s"
aeat_mod390_2024_map_line_005,,"5","base","False","aeat_mod390_2024_map","regular","Régimen ordinario - Base imponible 21%","both","l10n_es.account_tax_template_s_iva21b,l10n_es.account_tax_template_s_iva21s"
aeat_mod390_2024_map_line_006,,"6","amount","False","aeat_mod390_2024_map","regular","Régimen ordinario - Cuota 21%","both","l10n_es.account_tax_template_s_iva21b,l10n_es.account_tax_template_s_iva21s"
aeat_mod390_2024_map_line_021,,"21","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Base 4%","both","l10n_es.account_tax_template_p_iva4_ic_bc"
aeat_mod390_2024_map_line_022,"l10n_es.account_common_477","22","amount","False","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_ic_bc"
aeat_mod390_2024_map_line_023,,"23","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Base 10%","both","l10n_es.account_tax_template_p_iva10_ic_bc"
aeat_mod390_2024_map_line_024,"l10n_es.account_common_477","24","amount","False","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Cuota 10%","both","l10n_es.account_tax_template_p_iva10_ic_bc"
aeat_mod390_2024_map_line_025,,"25","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Base 21%","both","l10n_es.account_tax_template_p_iva21_ic_bc"
aeat_mod390_2024_map_line_026,"l10n_es.account_common_477","26","amount","False","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de bienes - Cuota 21%","both","l10n_es.account_tax_template_p_iva21_ic_bc"
aeat_mod390_2024_map_line_027,,"27","base","True","aeat_mod390_2024_map","regular","IVA devengado en otros supuestos de inversión del sujeto pasivo - Base","both","l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva10_sp_ex,l10n_es.account_tax_template_p_iva21_sp_ex,l10n_es.account_tax_template_p_iva0_ic_sc,l10n_es.account_tax_template_p_iva2_ic_sc,l10n_es.account_tax_template_p_iva4_isp,l10n_es.account_tax_template_p_iva5_ic_sc,l10n_es.account_tax_template_p_iva7-5_ic_sc,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva4_isp_bi,l10n_es.account_tax_template_p_iva10_isp_bi,l10n_es.account_tax_template_p_iva21_isp_bi"
aeat_mod390_2024_map_line_028,"l10n_es.account_common_472","28","amount","True","aeat_mod390_2024_map","regular","IVA devengado en otros supuestos de inversión del sujeto pasivo - Cuota","both","l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva10_sp_ex,l10n_es.account_tax_template_p_iva21_sp_ex,l10n_es.account_tax_template_p_iva0_ic_sc,l10n_es.account_tax_template_p_iva2_ic_sc,l10n_es.account_tax_template_p_iva4_isp,l10n_es.account_tax_template_p_iva5_ic_sc,l10n_es.account_tax_template_p_iva7-5_ic_sc,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva4_isp_bi,l10n_es.account_tax_template_p_iva10_isp_bi,l10n_es.account_tax_template_p_iva21_isp_bi"
aeat_mod390_2024_map_line_029_sale,,"29","base","False","aeat_mod390_2024_map","refund","Modificación de bases (ventas)","both","l10n_es.account_tax_template_s_iva0b,l10n_es.account_tax_template_s_iva0s,l10n_es.account_tax_template_s_iva2b,l10n_es.account_tax_template_s_iva2s,l10n_es.account_tax_template_s_iva4b,l10n_es.account_tax_template_s_iva4s,l10n_es.account_tax_template_s_iva5b,l10n_es.account_tax_template_s_iva5s,l10n_es.account_tax_template_s_iva7-5b,l10n_es.account_tax_template_s_iva7-5s,l10n_es.account_tax_template_s_iva10b,l10n_es.account_tax_template_s_iva10s,l10n_es.account_tax_template_s_iva21b,l10n_es.account_tax_template_s_iva21s"
aeat_mod390_2024_map_line_029_purchase,,"29","base","True","aeat_mod390_2024_map","refund","Modificación de bases (compras)","both","l10n_es.account_tax_template_p_iva0_ic_bc,l10n_es.account_tax_template_p_iva2_ic_bc,l10n_es.account_tax_template_p_iva4_ic_bc,l10n_es.account_tax_template_p_iva5_ic_bc,l10n_es.account_tax_template_p_iva7-5_ic_bc,l10n_es.account_tax_template_p_iva4_sp_in,l10n_es.account_tax_template_p_iva4_ic_bi,l10n_es.account_tax_template_p_iva10_ic_bc,l10n_es.account_tax_template_p_iva10_sp_in,l10n_es.account_tax_template_p_iva10_ic_bi,l10n_es.account_tax_template_p_iva21_ic_bc,l10n_es.account_tax_template_p_iva21_sp_in,l10n_es.account_tax_template_p_iva21_ic_bi,l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva10_sp_ex,l10n_es.account_tax_template_p_iva21_sp_ex,l10n_es.account_tax_template_p_iva0_ic_sc,l10n_es.account_tax_template_p_iva2_ic_sc,l10n_es.account_tax_template_p_iva4_isp,l10n_es.account_tax_template_p_iva5_ic_sc,l10n_es.account_tax_template_p_iva7-5_ic_sc,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva4_isp_bi,l10n_es.account_tax_template_p_iva10_isp_bi,l10n_es.account_tax_template_p_iva21_isp_bi"
aeat_mod390_2024_map_line_030_sale,"l10n_es.account_common_477","30","amount","False","aeat_mod390_2024_map","refund","Modificación de cuotas (ventas)","both","l10n_es.account_tax_template_s_iva0b,l10n_es.account_tax_template_s_iva0s,l10n_es.account_tax_template_s_iva2b,l10n_es.account_tax_template_s_iva2s,l10n_es.account_tax_template_s_iva4b,l10n_es.account_tax_template_s_iva4s,l10n_es.account_tax_template_s_iva5b,l10n_es.account_tax_template_s_iva5s,l10n_es.account_tax_template_s_iva7-5b,l10n_es.account_tax_template_s_iva7-5s,l10n_es.account_tax_template_s_iva10b,l10n_es.account_tax_template_s_iva10s,l10n_es.account_tax_template_s_iva21b,l10n_es.account_tax_template_s_iva21s"
aeat_mod390_2024_map_line_030_purchase,"l10n_es.account_common_477","30","amount","False","aeat_mod390_2024_map","refund","Modificación de cuotas (compras)","both","l10n_es.account_tax_template_p_iva0_ic_bc,l10n_es.account_tax_template_p_iva2_ic_bc,l10n_es.account_tax_template_p_iva4_ic_bc,l10n_es.account_tax_template_p_iva5_ic_bc,l10n_es.account_tax_template_p_iva7-5_ic_bc,l10n_es.account_tax_template_p_iva4_sp_in,l10n_es.account_tax_template_p_iva4_ic_bi,l10n_es.account_tax_template_p_iva10_ic_bc,l10n_es.account_tax_template_p_iva10_sp_in,l10n_es.account_tax_template_p_iva10_ic_bi,l10n_es.account_tax_template_p_iva21_ic_bc,l10n_es.account_tax_template_p_iva21_sp_in,l10n_es.account_tax_template_p_iva21_ic_bi,l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva10_sp_ex,l10n_es.account_tax_template_p_iva21_sp_ex,l10n_es.account_tax_template_p_iva0_ic_sc,l10n_es.account_tax_template_p_iva2_ic_sc,l10n_es.account_tax_template_p_iva4_isp,l10n_es.account_tax_template_p_iva5_ic_sc,l10n_es.account_tax_template_p_iva7-5_ic_sc,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva4_isp_bi,l10n_es.account_tax_template_p_iva10_isp_bi,l10n_es.account_tax_template_p_iva21_isp_bi"
aeat_mod390_2024_map_line_035,,"35","base","False","aeat_mod390_2024_map","regular","Recargo de equivalencia - Base 0,5%","both","l10n_es.account_tax_template_s_req05"
aeat_mod390_2024_map_line_036,,"36","amount","False","aeat_mod390_2024_map","regular","Recargo de equivalencia - Cuota 0,5%","both","l10n_es.account_tax_template_s_req05"
aeat_mod390_2024_map_line_043,,"43","base","False","aeat_mod390_2024_map","refund","Modificación recargo equivalencia - Base","both","l10n_es.account_tax_template_s_req0,l10n_es.account_tax_template_s_req026,l10n_es.account_tax_template_s_req05,l10n_es.account_tax_template_s_req062,l10n_es.account_tax_template_s_req1,l10n_es.account_tax_template_s_req014,l10n_es.account_tax_template_s_req52"
aeat_mod390_2024_map_line_044,,"44","amount","False","aeat_mod390_2024_map","refund","Modificación recargo equivalencia - Cuota","both","l10n_es.account_tax_template_s_req0,l10n_es.account_tax_template_s_req026,l10n_es.account_tax_template_s_req05,l10n_es.account_tax_template_s_req062,l10n_es.account_tax_template_s_req1,l10n_es.account_tax_template_s_req014,l10n_es.account_tax_template_s_req52"
aeat_mod390_2024_map_line_060,,"60","base","True","aeat_mod390_2024_map","regular","Compensac. rég. especial agric./ganad./pesca - Base","both","l10n_es.account_tax_template_p_iva12_agr"
aeat_mod390_2024_map_line_061,,"61","amount","True","aeat_mod390_2024_map","regular","Compensac. rég. especial agric./ganad./pesca - Cuota","both","l10n_es.account_tax_template_p_iva12_agr"
