<!--Interfaz usada => es.aeat.adtb.jdit.imp.tablas.htm.HtmTbElementoSrvImpl-->
Código;Descripción;Descripción larga;
A;Sujeción y no exención Ley 7/2022, de 8 de abril;<html><head><title></title></head><body><p>Adquisición intracomunitaria sujeta y no exenta de productos objeto del impuesto.</p></body></html>;
B;No sujeción artículo 73 c) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de pinturas, tintas, lacas y adhesivos concebidos para ser incorporados a productos objeto del impuesto;
C;No sujeción artículo 73 d) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de envases del art. 68.1a) de la Ley no diseñados para ser entregados conjuntamente con las mercancías.;
D;Exención artículo 75 a) 1º Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de envases del art. 68.1a) de la Ley destinados a prestar su función en medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario;
E;Exención artículo 75 a) 2º Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de productos del art. 68.1b) de la Ley destinados a obtener envases del art. 68.1a) de la Ley para medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.;
F;Exención artículo 75 a) 3º Ley 7/2022, de 8 de abril;<html><head><title></title></head><body><p>Adquisición intracomunitaria de productos del art. 68.1c) de la Ley destinados a permitir el cierre, la comercialización o la presentación de envases no reutilizables para medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.</p></body></html>;
G;Exención artículo 75 b) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de envases del art. 68.1a) de la Ley que se introduzcan en el territorio español prestando su función en medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.;
H;Exención artículo 75 c) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de rollos de plástico empleados en las pacas o balas para ensilado de forrajes o cereales de uso agrícola o ganadero;
I;Exención artículo 75 d) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de productos objeto del impuesto que, con anterioridad a finalizar el plazo de presentación de la correspondiente autoliquidación, se destinen a ser enviados fuera del territorio español (directamente por el adquirente intracomunitario, o por un tercero en su nombre o por su cuenta).;
J;Exención artículo 75 e) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de productos objeto del impuesto que, con anterioridad a finalizar el plazo de presentación de la correspondiente autoliquidación, hayan dejado de ser adecuados para su utilización o hayan sido destruidos.;
K;Exención artículo 75 f) Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de envases del art. 68.1a) de la Ley siempre que el peso total del plástico no reciclado contenido en dichos envases no exceda de 5 kilogramos en un mes.;
L;Exención artículo 75 g) 1º Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de productos del art. 68.1b) de la Ley cuando no se vayan a destinar a obtener envases del art. 68.1a) de la Ley.;
M;Exención artículo 75 g) 2º Ley 7/2022, de 8 de abril;Adquisición intracomunitaria de productos del artículo 68.1c) de la Ley cuando no se vayan a utilizar para permitir el cierre, la comercialización o la presentación de envases no reutilizables.;
;;;
