id,name
s_iva21b,account_tax_template_s_iva21b
s_iva0b,account_tax_template_s_iva0b
s_iva2b,account_tax_template_s_iva2b
s_iva4b,account_tax_template_s_iva4b
s_iva5b,account_tax_template_s_iva5b
s_iva7-5b,account_tax_template_s_iva7-5b
s_iva10b,account_tax_template_s_iva10b
s_iva0_isp,account_tax_template_s_iva0_isp
s_iva_ns_b,account_tax_template_s_iva_ns_b
s_iva_e,account_tax_template_s_iva_e
s_iva0_sp_i,account_tax_template_s_iva0_sp_i
s_iva_ns,account_tax_template_s_iva_ns
s_iva21s,account_tax_template_s_iva21s
s_iva10s,account_tax_template_s_iva10s
s_iva0s,account_tax_template_s_iva0s
s_iva2s,account_tax_template_s_iva2s
s_iva4s,account_tax_template_s_iva4s
s_iva5s,account_tax_template_s_iva5s
s_iva7-5s,account_tax_template_s_iva7-5s
s_iva0_g_i,account_tax_template_s_iva0_g_i
s_iva0_g_e,account_tax_template_s_iva0_g_e
s_iva0,account_tax_template_s_iva0
s_iva0_art22,account_tax_template_s_iva0_art22
s_iva0_art23,account_tax_template_s_iva0_art23
s_iva0_e,account_tax_template_s_iva0_e
s_iva0_ic,account_tax_template_s_iva0_ic
s_iva0_nsd,account_tax_template_s_iva0_nsd
p_iva21_bc,account_tax_template_p_iva21_bc
p_iva21_sc,account_tax_template_p_iva21_sc
p_iva10_bc,account_tax_template_p_iva10_bc
p_iva10_sc,account_tax_template_p_iva10_sc
p_iva5_bc,account_tax_template_p_iva5_bc
p_iva5_sc,account_tax_template_p_iva5_sc
p_iva7-5_bc,account_tax_template_p_iva7-5_bc
p_iva7-5_sc,account_tax_template_p_iva7-5_sc
p_iva4_bc,account_tax_template_p_iva4_bc
p_iva4_sc,account_tax_template_p_iva4_sc
p_iva0_bc,account_tax_template_p_iva0_bc
p_iva0_s_bc,account_tax_template_p_iva0_s_bc
p_iva0_s_sc,account_tax_template_p_iva0_s_sc
p_iva2_bc,account_tax_template_p_iva2_bc
p_iva2_sc,account_tax_template_p_iva2_sc
p_iva0_ic_bc,account_tax_template_p_iva0_ic_bc
p_iva0_ic_sc,account_tax_template_p_iva0_ic_sc
p_iva0_ibc,account_tax_template_p_iva0_ibc
p_iva2_ic_bc,account_tax_template_p_iva2_ic_bc
p_iva2_ic_sc,account_tax_template_p_iva2_ic_sc
p_iva2_ibc,account_tax_template_p_iva2_ibc
p_iva4_bi,account_tax_template_p_iva4_bi
p_iva10_bi,account_tax_template_p_iva10_bi
p_iva21_bi,account_tax_template_p_iva21_bi
p_iva4_sp_in,account_tax_template_p_iva4_sp_in
p_iva10_sp_in,account_tax_template_p_iva10_sp_in
p_iva21_sp_in,account_tax_template_p_iva21_sp_in
p_iva4_ic_bc,account_tax_template_p_iva4_ic_bc
p_iva10_ic_bc,account_tax_template_p_iva10_ic_bc
p_iva21_ic_bc,account_tax_template_p_iva21_ic_bc
p_iva5_ic_bc,account_tax_template_p_iva5_ic_bc
p_iva5_ic_sc,account_tax_template_p_iva5_ic_sc
p_iva7-5_ic_bc,account_tax_template_p_iva7-5_ic_bc
p_iva7-5_ic_sc,account_tax_template_p_iva7-5_ic_sc
p_iva4_ic_bi,account_tax_template_p_iva4_ic_bi
