"id","account_xmlid_ids/id","field_number","field_type","inverse","map_parent_id:id","move_type","name","sum_type","tax_xmlid_ids/id","to_regularize"
"atc_mod417_map_line_01",,"01","base","False","atc_mod417_map","regular","IGICTipocero-Baseimponible0%","both","igic_r_0","False"
"atc_mod417_map_line_04",,"04","base","False","atc_mod417_map","regular","IGICTiporeducido-Baseimponible3%/5%","both","igic_r_3,igic_r_5","False"
"atc_mod417_map_line_07",,"07","base","False","atc_mod417_map","regular","IGICTipogeneral-Baseimponible7%","both","igic_r_7","False"
"atc_mod417_map_line_10",,"10","base","False","atc_mod417_map","regular","IGICTipoincrementado-Baseimponible9,5%","both","igic_r_9_5","False"
"atc_mod417_map_line_13",,"13","base","False","atc_mod417_map","regular","IGICTipoincrementados-Baseimponible15%","both","igic_r_15","False"
"atc_mod417_map_line_16",,"16","base","False","atc_mod417_map","regular","IGICTipoespecial-Baseimponible20%","both","igic_r_20","False"
"atc_mod417_map_line_03",,"03","amount","False","atc_mod417_map","regular","IGICTipocero-Cuota0%","both","igic_r_0","True"
"atc_mod417_map_line_06",,"06","amount","False","atc_mod417_map","regular","IGICTiporeducido-Cuota3%/5%","both","igic_r_3,igic_r_5","True"
"atc_mod417_map_line_09",,"09","amount","False","atc_mod417_map","regular","IGICTipogeneral-Cuota7%","both","igic_r_7","True"
"atc_mod417_map_line_12",,"12","amount","False","atc_mod417_map","regular","IGICTipoincrementado-Cuota9,5%","both","igic_r_9_5","True"
"atc_mod417_map_line_15",,"15","amount","False","atc_mod417_map","regular","IGICTipoincrementado-Cuota15%","both","igic_r_15","True"
"atc_mod417_map_line_18",,"18","amount","False","atc_mod417_map","regular","IGICTipoespecial-Cuota20%","both","igic_r_20","True"
"atc_mod417_map_line_19",,"19","base","True","atc_mod417_map","regular","Operacionesconinversióndelsujetopasivo-Baseimponible","both","igic_ISP0,igic_ISP3,igic_ISP7,igic_ISP95,igic_ISP15,igic_ISP20","False"
"atc_mod417_map_line_20","common_canary_4777","20","amount","False","atc_mod417_map","regular","Operacionesconinversióndelsujetopasivo-Cuota","both","igic_ISP0,igic_ISP3,igic_ISP7,igic_ISP95,igic_ISP15,igic_ISP20","True"
"atc_mod417_map_line_21_sale",,"21","base","False","atc_mod417_map","refund","Modificaciónbasesycuotas-Baseimponible(Ventas)","both","igic_r_0,igic_r_3,igic_r_5,igic_r_7,igic_r_9_5,igic_r_15,igic_r_20","False"
"atc_mod417_map_line_21_purchase",,"21","base","True","atc_mod417_map","refund","Modificaciónbasesycuotas-Baseimponible(Compras)","both","igic_ISP0,igic_ISP3,igic_ISP7,igic_ISP95,igic_ISP15,igic_ISP20","False"
"atc_mod417_map_line_22_sale","common_canary_4777","22","amount","False","atc_mod417_map","refund","Modificaciónbasesycuotas-Cuota(Ventas)","both","igic_r_0,igic_r_3,igic_r_5,igic_r_7,igic_r_9_5,igic_r_15,igic_r_20","True"
"atc_mod417_map_line_22_purchase","common_canary_4777","22","amount","False","atc_mod417_map","refund","Modificaciónbasesycuotas-Cuota(Compras)","both","igic_ISP0,igic_ISP3,igic_ISP7,igic_ISP95,igic_ISP15,igic_ISP20","True"
