code,name
1,Régimen ordinario
2,Régimen especial de bienes usados
3,"Régimen especial de objetos de arte, antigüedades y objetos de colección"
4,Régimen especial de comerciantes minoristas
5,Régimen especial simplificado
6,"Régimen especial de la agricultura, ganadería y pesca"
7,Régimen especial de agencias de viajes
8,Régimen especial aplicable a las operaciones con oro de inversión
9,Régimen especial del grupo de entidades
10,Régimen especial del pequeño empresario o profesional
11,Régimen especial del criterio de caja
