"id","name","sequence"
"tax_group_digital_canon_0_template","Canon digital 0€","5"
"tax_group_digital_canon_0_08_template","Canon digital 0.08€","5"
"tax_group_digital_canon_0_21_template","Canon digital 0.21€","5"
"tax_group_digital_canon_0_24_template","Canon digital 0.24€","5"
"tax_group_digital_canon_0_9_template","Canon digital 0.9€","5"
"tax_group_digital_canon_1_template","Canon digital 1€","5"
"tax_group_digital_canon_1_1_template","Canon digital 1.1€","5"
"tax_group_digital_canon_1_5_template","Canon digital 1.5€","5"
"tax_group_digital_canon_2_template","Canon digital 2€","5"
"tax_group_digital_canon_2_5_template","Canon digital 2.5€","5"
"tax_group_digital_canon_3_template","Canon digital 3€","5"
"tax_group_digital_canon_3_15_template","Canon digital 3.15€","5"
"tax_group_digital_canon_3_25_template","Canon digital 3.25€","5"
"tax_group_digital_canon_3_75_template","Canon digital 3.75€","5"
"tax_group_digital_canon_4_template","Canon digital 4€","5"
"tax_group_digital_canon_5_template","Canon digital 5€","5"
"tax_group_digital_canon_5_25_template","Canon digital 5.25€","5"
"tax_group_digital_canon_5_33_template","Canon digital 5.33€","5"
"tax_group_digital_canon_6_45_template","Canon digital 6.45€","5"
