"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_account_fiscalyear_closing","account_fiscalyear_closing","model_account_fiscalyear_closing","account.group_account_user",1,0,0,0
"access_account_fiscalyear_closing","account_fiscalyear_closing","model_account_fiscalyear_closing","account.group_account_manager",1,1,1,1
"access_account_fiscalyear_closing_lp_account_map","account_fiscalyear_closing_lp_account_map","model_account_fiscalyear_closing_lp_account_map","account.group_account_user",1,0,0,0
"access_account_fiscalyear_closing_lp_account_map","account_fiscalyear_closing_lp_account_map","model_account_fiscalyear_closing_lp_account_map","account.group_account_manager",1,1,1,1
"access_account_fiscalyear_closing_nlp_account_map","account_fiscalyear_closing_nlp_account_map","model_account_fiscalyear_closing_nlp_account_map","account.group_account_user",1,0,0,0
"access_account_fiscalyear_closing_nlp_account_map","account_fiscalyear_closing_nlp_account_map","model_account_fiscalyear_closing_nlp_account_map","account.group_account_manager",1,1,1,1
"access_account_fiscalyear_closing_c_account_map","account_fiscalyear_closing_c_account_map","model_account_fiscalyear_closing_c_account_map","account.group_account_user",1,0,0,0
"access_account_fiscalyear_closing_c_account_map","account_fiscalyear_closing_c_account_map","model_account_fiscalyear_closing_c_account_map","account.group_account_manager",1,1,1,1
"access_account_fiscalyear_closing","account_fiscalyear_closing","model_account_fiscalyear_closing","account.group_account_user",1,0,0,0
"access_account_fiscalyear_closing","account_fiscalyear_closing","model_account_fiscalyear_closing","account.group_account_manager",1,1,1,1
