"id","name","code","account_type","chart_template_id/id","reconcile"
"account_full_canary_100","Capital social","100","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_1030","Socios por desembolsos no exigidos, capital social","1030","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_1040","Socios por aportaciones no dinerarias pendientes, capital social","1040","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_1110","Patrimonio neto por emision de instrumentos financieros compuestos","1110","equity","account_chart_template_full_canary","False"
"account_full_canary_1111","Resto de instrumentos de patrimonio neto","111100","equity","account_chart_template_full_canary","False"
"account_full_canary_1143","Reserva por fondo de comercio","1143","equity","account_chart_template_full_canary","False"
"account_full_canary_115","Reservas por pérdidas y ganancias actuariales y otros ajustes","115","equity","account_chart_template_full_canary","False"
"account_full_canary_120","Remanente","120","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_121","Resultados negativos de ejercicios anteriores","121","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_129","Resultado del ejercicio","129","equity_unaffected","account_chart_template_full_canary","False"
"account_full_canary_130","Subvenciones oficiales de capital","130","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_132","Otras subvenciones, donaciones y legados","132","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_133","Ajustes por valoración en activos financieros disponibles para la venta","133","equity","account_chart_template_full_canary","False"
"account_full_canary_1340","Cobertura de flujos de efectivo","1340","equity","account_chart_template_full_canary","False"
"account_full_canary_1341","Cobertura de una inversión neta en un negocio en el extranjero","1341","equity","account_chart_template_full_canary","False"
"account_full_canary_135","Diferencias de conversión","135","equity","account_chart_template_full_canary","False"
"account_full_canary_136","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","136","equity","account_chart_template_full_canary","False"
"account_full_canary_140","Provisión por retribuciones del personal","140","liability_non_current","account_chart_template_full_canary","True"
"account_full_canary_146","Provisión para reestructuraciones","146","liability_non_current","account_chart_template_full_canary","True"
"account_full_canary_147","Provisión por transacciones con pagos basados en instrumentos de patrimonio","147","liability_non_current","account_chart_template_full_canary","True"
"account_full_canary_1765","Pasivos por derivados financieros, carter de negociación","1765","liability_non_current","account_chart_template_full_canary","True"
"account_full_canary_1768","Pasivos por derivados financieros, instrumentos de cobertura","1768","liability_non_current","account_chart_template_full_canary","True"
"account_full_canary_178","Obligaciones y bonos convertibles","178","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_189","Garantías financieras","189","liability_non_current","account_chart_template_full_canary","False"
"account_full_canary_204","Fondo de comercio","204","asset_fixed","account_chart_template_full_canary","False"
