"id","sequence","type_tax_use","description","description@es","name","name@es","amount","amount_type","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids"
"account_tax_template_igic_r_0","1","sale","IGIC 0%","IGIC 0%","IGIC 0%","IGIC 0%","0","percent","tax_group_igic_0",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice",,,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund",,,
"account_tax_template_igic_r_3","1","sale","IGIC 3%","IGIC 3%","IGIC 3%","IGIC 3%","3","percent","tax_group_igic_3",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice","account_common_canary_4777",,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund","account_common_canary_4777",,
"account_tax_template_igic_r_5","1","sale","IGIC 5%","IGIC 5%","IGIC 5%","IGIC 5%","5","percent","tax_group_igic_5",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice","account_common_canary_4777",,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund","account_common_canary_4777",,
"account_tax_template_igic_r_7","0","sale","IGIC 7%","IGIC 7%","IGIC 7%","IGIC 7%","7","percent","tax_group_igic_7",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice","account_common_canary_4777",,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund","account_common_canary_4777",,
"account_tax_template_igic_r_9_5","1","sale","IGIC 9.5%","IGIC 9,5%","IGIC 9.5%","IGIC 9.5%","9.5","percent","tax_group_igic_95",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice","account_common_canary_4777",,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund","account_common_canary_4777",,
"account_tax_template_igic_r_15","1","sale","IGIC 15%","IGIC 15%","IGIC 15%","IGIC 15%","15","percent","tax_group_igic_15",,"base","invoice",,,
,,,,,,,,,,,"tax","invoice","account_common_canary_4777",,
,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,"tax","refund","account_common_canary_4777",,
