"id","name","name@es","name@ca","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_igic_reav","IGIC REAV - Travel agencies","IGIC REAV - Agencias de viajes","IGIC REAV - Agències de viatges","","account_tax_template_igic_sop_0","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_sop_3","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_sop_7","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_sop_9_5","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_sop_15","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_sop_20","account_tax_template_p_igic_reav0","",""
"","","","","","account_tax_template_igic_r_0","account_tax_template_s_igic_reav0","",""
"","","","","","account_tax_template_igic_r_3","account_tax_template_s_igic_reav0","",""
"","","","","","account_tax_template_igic_r_7","account_tax_template_s_igic_reav0","",""
"","","","","","account_tax_template_igic_r_9_5","account_tax_template_s_igic_reav0","",""
"","","","","","account_tax_template_igic_r_15","account_tax_template_s_igic_reav0","",""
"","","","","","account_tax_template_igic_r_20","account_tax_template_s_igic_reav0","",""
