id,name,lname,code,bic,street,street2,website,vat,city,zip,phone,active,state:id,country:id
res_bank_es_1542,J.P. Morgan Sec,"J.P. Morgan Securities Ltd, Sucursal En España",1542,,"Cl. Jose Ortega Y Gasset, 29",,,W0068121C,Madrid,28006,915161200,1,base.state_es_m,base.es
res_bank_es_1543,"Cofidis,S.A.,Se","Cofidis, S.A. Sucursal En España",1543,,"Pz. De La Pau, 0","Edificio Wtc, Ap1",www.cofidis.es,W0017686G,Cornella De Llobregat,8940,902308030,1,base.state_es_b,base.es
res_bank_es_1544,Andbanc S.E.,"Andbanc Luxembourg, S.A., Sucursal En España",1544,BACAESMMXXX,"Ps. De La Castellana, 55",Pl. 3,,W0182803G,Madrid,28046,912062850,1,base.state_es_m,base.es
res_bank_es_1460,Credit Suisse,"Credit Suisse Ag, Sucursal En España",1460,CRESESMMXXX,"Cl. Ayala, 42",,www.credit-suisse.com,A81956856,Madrid,28001,917916000,1,base.state_es_m,base.es
res_bank_es_1485,Bank Of America,"Bank Of America, National Association, Sucursal En España",1485,BOFAES2XXXX,"Pz. Pablo Ruiz Picasso, 1",Pl 39 Y 40 T.Picasso,,W4003376C,Madrid,28020,913965000,1,base.state_es_m,base.es
res_bank_es_1515,"Citibank, N.A.","Citibank, N.A., Sucursal En España",1515,,"Cl. Ortega Y Gasset, 29",,,W4004486I,Madrid,28006,915384100,1,base.state_es_m,base.es
res_bank_es_1123,Nac. Argentina,Banco De La Nacion Argentina,1123,,"Cl. Nuñez De Balboa, 73",,bna@bna.com.es,A08168908,Madrid,28001,915763705,1,base.state_es_m,base.es
res_bank_es_1137,Cent. Populaire,Banque Centrale Populaire,1137,,"Cl. Velazquez, 34",Pl. 1,,N2041007B,Madrid,28001,915207066,1,base.state_es_m,base.es
res_bank_es_1149,Royal Bank,Royal Bank Of Canada,1149,,"Cl. Nuñez De Balboa, 4",Pl. 1 - C,,N4041023E,Madrid,28001,913100013,1,base.state_es_m,base.es
res_bank_es_1156,New York Mellon,The Bank Of New York Mellon,1156,IRVTESM1XXX,"Cl. Jose Abascal, 45",Pl. 4,,N4001294J,Madrid,28003,911775120,1,base.state_es_m,base.es
res_bank_es_1193,Pkb Privatbank,Pkb Privatbank Ag.,1193,PKBSES21XXX,"Cl. Orquidea, 43",La Moraleja,,N0361124A,Alcobendas,28100,915829100,1,base.state_es_m,base.es
res_bank_es_1202,Wells Fargo,"Wells Fargo Bank, Na",1202,,"Pz. Pablo Ruiz Picasso, 1",Torre Picasso,,N4005536J,Madrid,28020,915768376,1,base.state_es_m,base.es
res_bank_es_1210,Banqueregionale,Banque Regionale D'Escompte Et De Depots,1210,REDEESM1XXX,"Av. Felipe Ii, 17",,,N0011679H,Madrid,28009,915764276,1,base.state_es_m,base.es
res_bank_es_1231,Canarias Venez.,"Banco Canarias De Venezuela, Ca",1231,BOCAES21XXX,"Pz. Alferez Provisional, 0","Edif.Tarajal, Loc.12",,N4841053D,Sta. Cruz De Tenerife,38002,922247711,1,base.state_es_tf,base.es
res_bank_es_1234,Buenos Aires,Banco De La Provincia De Buenos Aires,1234,PRBAESM1XXX,"Cl. Serrano, 41",Pl. 3,,N5281056A,Madrid,28001,917000776,1,base.state_es_m,base.es
res_bank_es_1236,Landesbank,Landesbank Hessen-Thueringen Girozentrale,1236,HELAESM1XXX,"Cl. General Castaños, 4",Bajo Dcha.,,N0041815B,Madrid,28004,913911004,1,base.state_es_m,base.es
res_bank_es_8832,Bankinter C.Efc,"Bankinter Consumer Finance, E.F.C., S.A.",8832,,"Av. De Bruselas, 12",Arroyo De La Vega,www.obsidiana.com,A82650672,Alcobendas,28108,914903910,1,base.state_es_m,base.es
res_bank_es_8833,Sgefi,"Sg Equipment Finance Iberia, E.F.C., S.A.",8833,,"Cl. Caleruega, 81","Pl. 6, Pta. A",,A86106838,Madrid,28033,913834340,1,base.state_es_m,base.es
res_bank_es_8834,Avant Tarjeta,"Avant Tarjeta, Establecimiento Financiero De Credito, S.A.",8834,,"Cl. Jose Echegaray, 6",,,A86373701,Las Rozas,28232,913534703,1,base.state_es_m,base.es
res_bank_es_8835,Santanderbrasil,"Santander Brasil, Establecimiento Financiero De Credito, S.A.",8835,SBFCESMMXXX,"Av. De Cantabria, 0",Ciudad Gr. Santander,,A86426335,Boadilla Del Monte,28660,0,1,base.state_es_m,base.es
res_bank_es_8906,Santander Facto,"Santander Factoring Y Confirming, S.A., E.F.C.",8906,,"Av. De Cantabria, 0",Ciudad Grp.Santander,www.confirming.es,A78287562,Boadilla Del Monte,28660,913422715,1,base.state_es_m,base.es
res_bank_es_0108,Societe General,"Societe Generale, Sucursal En España",0108,SOGEESMMXXX,"Pz. Pablo Ruiz Picasso, 1",Torre Picasso,,W0011682B,Madrid,28020,915898060,1,base.state_es_m,base.es
res_bank_es_0144,Bnp Parib.Sec,"Bnp Paribas Securities Services, Sucursal En España",0144,PARBESMXXXX,"Cl. Ribera Del Loira, 28",Pl. 3,,W0012958E,Madrid,28042,913888747,1,base.state_es_m,base.es
res_bank_es_0145,"Db-A.G., S.E.","Deutsche Bank, A.G., Sucursal En España",0145,DEUTESM1XXX,"Ps. De La Castellana, 18",,,W0041027D,Madrid,28046,915773577,1,base.state_es_m,base.es
res_bank_es_0149,"Bnp Paribas, Se","Bnp Paribas, Sucursal En España",0149,BNPAESMSXXX,"Cl. Ribera Del Loira, 28",,www.bnpparibas.es,W0011117I,Madrid,28042,913491100,1,base.state_es_m,base.es
res_bank_es_0154,Credit Agricole,"Credit Agricole Corporate And Investment Bank, Sucursal En España",0154,BSUIESMMXXX,"Ps. De La Castellana, 1",,,N0011043G,Madrid,28046,914327200,1,base.state_es_m,base.es
res_bank_es_0057,Depositariobbva,"Banco Depositario Bbva, S.A.",0057,BVADESMMXXX,"Cl. Clara Del Rey, 26",,,A08109670,Madrid,28002,913743000,1,base.state_es_m,base.es
res_bank_es_0058,"Bnp Paribas, Sa","Bnp Paribas España, S.A.",0058,BNPAESMMXXX,"Cl. Ribera Del Loira, 28",Pl.4,www.bancaprivada.bnpparibas.es,A28000370,Madrid,28042,913888070,1,base.state_es_m,base.es
res_bank_es_0059,Banco De Madrid,"Banco De Madrid, S.A.",0059,MADRESMMXXX,"Ps. De La Castellana, 0",,,A28014207,Madrid,28046,917815360,1,base.state_es_m,base.es
res_bank_es_0061,Banca March,"Banca March, S.A.",0061,BMARES2MXXX,"Av. Alejandro Rosello, 8",,www.bancamarch.es,A07004021,Palma,7002,971779100,1,base.state_es_pm,base.es
res_bank_es_0073,Open Bank,"Open Bank, S.A.",0073,OPENESMMXXX,"Av. Cantabria, 0",Ciudad Gr. Santander,www.openbank.es,A28021079,Boadilla Del Monte,28660,913421000,1,base.state_es_m,base.es
res_bank_es_0113,Indust. Bilbao,"Banco Industrial De Bilbao, S.A.",0113,INBBESM1XXX,"Cl. Gran Via D. Diego Lopez Haro, 1",,,A48036990,Bilbao,48009,944875429,1,base.state_es_bi,base.es
res_bank_es_0115,Banco Clm,"Banco De Castilla-La Mancha, S.A.",0115,,"Pq. De San Julian, 20",,,A15011489,Cuenca,16001,969177300,1,base.state_es_cu,base.es
res_bank_es_0121,Occidental,"Banco Occidental, S.A.",0121,OCBAESM1XXX,"Ps. De La Castellana, 81",Pl. 5,,A28137958,Madrid,28046,944875429,1,base.state_es_m,base.es
res_bank_es_0122,Citibank España,"Citibank España, S.A.",0122,CITIES2XXXX,"Av. De Europa, 19",Pq.Emp.La Moraleja,www.citibank.es,A28142081,Alcobendas,28108,916631000,1,base.state_es_m,base.es
res_bank_es_0129,Bbva B.Financ.,"Bbva Banco De Financiacion, S.A.",0129,INALESM1XXX,". G.Via Don Diego Lopez De Haro, 1",,,A08188807,Bilbao,48001,944875429,1,base.state_es_bi,base.es
res_bank_es_3058,Cajamar,"Cajamar Caja Rural, Sociedad Cooperativa De Credito",3058,CCRIES2AXXX,"Pz. Barcelona, 5",,www.cajamar.es,F04001475,Almeria,4006,950210100,1,base.state_es_al,base.es
res_bank_es_3059,C.R. Asturias,"Caja Rural De Asturias, Sociedad Cooperativa De Credito",3059,BCOEESMM059,"Cl. Melquiades Alvarez, 7",,www.ruralvia.com/asturias/,F33007337,Oviedo,33002,985220591,1,base.state_es_o,base.es
res_bank_es_3082,Ruralcaja,"Caja Rural Del Mediterraneo, Ruralcaja, S. Coop. De Credito",3082,,"Ps. Alameda, 34",,www.ruralcaja.es,F46028064,Valencia,46023,963870800,1,base.state_es_v,base.es
res_bank_es_7861,Lico,"Lico Corporacion, S.A.",7861,,"Cl. Miguel Angel, 23",,,A78831369,Madrid,28010,913084175,1,base.state_es_m,base.es
res_bank_es_3121,C.R. De Cheste,"Caja Rural De Cheste, Sociedad Cooperativa De Credito",3121,CCRIES2A121,"Pz. Doctor Cajal, 2",,www.ruralvia.com/cheste,F46025433,Cheste,46380,962515502,1,base.state_es_v,base.es
res_bank_es_3123,C.R. De Turis,"Caixa Rural De Turis, Cooperativa De Credito Valenciana",3123,CCRIES2A123,"Pz. Constitucion, 2",,www.cajarural.com/rurales/3123/,F46027504,Turis,46389,962526061,1,base.state_es_v,base.es
res_bank_es_3135,San Jose Nules,Caja Rural San Jose De Nules S. Coop. De Credito V.,3135,CCRIES2A135,"Cl. Mayor, 66",,www.ruralvia.com/nules,F12013140,Nules,12520,964656065,1,base.state_es_cs,base.es
res_bank_es_3137,C.R. De Casinos,Caja Rural De Casinos S. Coop. De Credito V.,3137,CCRIES2A137,"Pz. Mayor, 10",,,F46043808,Casinos,46171,962700008,1,base.state_es_v,base.es
res_bank_es_3138,Caixa R Betxi,"Caja Rural De Betxi, S. Coop. De Credito V.",3138,BCOEESMM138,"Pz. Mayor, 2",,www.cajarural.com/betxi,F12013322,Betxi,12549,964623003,1,base.state_es_cs,base.es
res_bank_es_3144,C.R. Villamalea,"Caja Rural De Villamalea, S. Coop. De Credito Agrario De Castilla-La Mancha",3144,BCOEESMM144,"Pz. De La Concepcion, 1",,www.ruralvia.com/villamalea,F02004299,Villamalea,2270,967483026,1,base.state_es_ab,base.es
res_bank_es_3146,Novanca,"Caja De Credito Cooperativo, Sociedad Cooperativa De Credito",3146,CCCVESM1XXX,"Cl. Virgen De Los Peligros, 4",Pl. 4,,F28457075,Madrid,28013,916926153,1,base.state_es_m,base.es
res_bank_es_3157,Caixa R. Xilxes,"Caja Rural La Junquera De Chilches, S. Coop. De Credito V.",3157,CCRIES2A157,"Pz. España, 8",,www.ruralvia.com/chilches,F12013124,Chilches,12592,964590089,1,base.state_es_cs,base.es
res_bank_es_3161,C.R.S. Fortunat,"Caja Rural San Fortunato, Sdad. Coop. Catalana Cto. Ltda.",3161,,"Cl. Bonaire, 11",,,F25015660,Castelldans,25154,973120056,1,base.state_es_l,base.es
res_bank_es_3174,Caixa Vinaros,"Caixa Rural Vinaros, S. Coop. De Credit. V.",3174,BCOEESMM174,"Cl. San Cristobal, 19",,www.ruralvia.com,F12013249,Vinaros,12500,964407280,1,base.state_es_cs,base.es
res_bank_es_3183,Arquia,Caja De Arquitectos S. Coop. De Credito,3183,CASDESBBXXX,"Cl. Arcs, 1",,www.arquia.es,F08809808,Barcelona,8002,934826810,1,base.state_es_b,base.es
res_bank_es_3184,Caja De Alcoy,"Caja De Credito De Alcoy, Cooperativa De Credito Valenciana (En Liquidacion)",3184,,"Cl. Santa Rosa, 48",,,F03285467,Alcoy,3800,965525112,1,base.state_es_a,base.es
res_bank_es_4709,Ing Lease Efc,"Ing Lease (España), E.F.C., S.A.",4709,,"Av. Diagonal, 605",Pl. 9,,A08350225,Barcelona,8028,934949330,1,base.state_es_b,base.es
res_bank_es_3187,Caja R. Sur,"Caja Rural Del Sur, S. Coop. De Credito",3187,BCOEESMM187,"Cl. Murillo, 2",,www.ruralvia.com/crdelsur,F91119065,Sevilla,41001,954599100,1,base.state_es_se,base.es
res_bank_es_3188,Credit Valencia,"Credit Valencia, Caja Rural Cooperativa De Credito Valenciana",3188,CCRIES2A188,"Cl. Santa Maria Micaela, 6",,,F97086805,Valencia,46008,963354930,1,base.state_es_v,base.es
res_bank_es_6701,Younique Money,"Younique Money, E.D.E., S.A.",6701,,"Cl. Ciudad Real, 0",,www.youniquemoney.es,A85572782,Pozuelo De Alarcon,28223,918299290,1,base.state_es_m,base.es
res_bank_es_4706,Caterpillar,"Caterpillar Financial Corporacion Financiera, Sociedad Anonima Establecimiento Financiero Credito",4706,,". Via De Las Dos Castillas, 33","Edif. Atica, 6, Pl.4",,A28125805,Pozuelo De Alarcon,28224,914951300,1,base.state_es_m,base.es
res_bank_es_4713,Lico Leasing,"Lico Leasing, S.A., Establecimiento Financiero De Credito",4713,,"Cl. Miguel Angel, 23",,www.lico.es,A28167799,Madrid,28010,917003600,1,base.state_es_m,base.es
res_bank_es_4797,Santander Lease,"Santander Lease, S.A. Establecimiento Financiero De Credito",4797,,"Av. De Cantabria, 0",Ciudad Gr. Santander,www.bansalease.com,A78475209,Boadilla Del Monte,28660,912890399,1,base.state_es_m,base.es
res_bank_es_4799,Mercedes Efc,"Mercedes-Benz Financial Services España E.F.C., S.A.",4799,,"Av. De Bruselas, 30",Pg.Arroyo De La Vega,,A78510260,Alcobendas,28108,917212800,1,base.state_es_m,base.es
res_bank_es_4819,Bancantabria,"Bancantabria Inversiones, S.A., E.F.C.",4819,,"Cl. Castelar, 21",Pl. 1,www.bancantabria.com,A78654886,Santander,39004,942363234,1,base.state_es_s,base.es
res_bank_es_4832,Ibercaja Leasin,"Ibercaja Leasing Y Financiacion, S.A., Establecimiento Financiero De Credito",4832,,"Ps. Constitucion, 4",,,A50219807,Zaragoza,50008,976231609,1,base.state_es_z,base.es
res_bank_es_4837,Madrid Leasing,"Madrid Leasing Corporacion, S.A., Establecimiento Financiero De Credito",4837,,"Cl. Doctor Esquerdo, 138",,www.madridleasing.es,A79419107,Madrid,28007,914235159,1,base.state_es_m,base.es
