id,number,name
contribution_group_1,1,Engineers and graduates
contribution_group_2,2,"Technicians, experts and graduated assistants"
contribution_group_3,3,Administrative and workshop managers
contribution_group_4,4,Non-graduated assistants
contribution_group_5,5,Administrative officers
contribution_group_6,6,Subalterns
contribution_group_7,7,Administrative assistants
contribution_group_8,8,First and second class officers
contribution_group_9,9,Third class officers and specialists
contribution_group_10,10,Pawns / Not qualified workers over 18
contribution_group_11,11,"Workers under 18, whatever their professional category"
